edges,prim_1,kruskal_1,prim_5,kruskal_5,prim_9,kruskal_9

10,6.539999999999324e-05,2.199999999996649e-05,8.390000000002562e-05,2.230000000003063e-05,9.209999999992835e-05,2.2200000000083264e-05

20,0.00011709999999998111,5.359999999998699e-05,0.00017279999999997298,5.7499999999932605e-05,0.00021549999999992409,5.679999999996799e-05

30,0.00020330000000001736,0.0001118999999999426,0.0003015000000000656,9.230000000004512e-05,0.00040719999999994094,0.00011470000000002312

40,0.0002750000000000252,0.00015650000000000386,0.0005399999999999849,0.0001590999999999676,0.0006771000000000971,0.0001742999999999606

50,0.00036760000000002346,0.00023600000000001398,0.0007053000000000198,0.0002330999999999861,0.0008833999999999786,0.00023940000000000072

60,0.0004911000000000776,0.0003291000000000821,0.00098750000000003,0.00032209999999999184,0.0019959999999999978,0.0006981999999999822

70,0.0007049999999999557,0.0004556999999999478,0.001299799999999962,0.0004089999999999927,0.0020847999999999978,0.000508299999999906

80,0.000817600000000196,0.0004899999999998794,0.0016601999999998895,0.0005477000000000398,0.001815799999999923,0.0006334000000001172

90,0.0012748999999998567,0.0007608999999999533,0.0016461000000000947,0.000544800000000123,0.0022827999999999182,0.000557600000000047

100,0.0010578000000001087,0.0007814999999999905,0.0019120999999999722,0.0008405999999998581,0.002595499999999973,0.0008126999999999995

110,0.0012216999999998812,0.000872299999999937,0.0022692999999998076,0.0008235999999999244,0.002915300000000176,0.0012232000000000909

120,0.0013867999999999103,0.0016954000000000136,0.0025437000000001486,0.0010687000000000335,0.003765199999999913,0.0012012999999999607

130,0.0015628000000000863,0.0013590999999999465,0.0027704000000001727,0.0013015000000000665,0.003630299999999975,0.0012473999999997876

140,0.0016633999999999816,0.0015746000000000926,0.003504900000000033,0.0015076999999998897,0.004232400000000025,0.0014627999999998753

150,0.001881400000000033,0.0021523999999999432,0.003709700000000149,0.0018701000000000967,0.005038499999999946,0.0019233999999999085

160,0.0022927999999999837,0.002383000000000024,0.0038746000000000613,0.0026380999999999766,0.005342500000000028,0.0019886999999998434

170,0.0021933000000000646,0.0022698000000000995,0.004188400000000092,0.002421900000000088,0.005707600000000035,0.0022424000000000888

180,0.0024227999999999472,0.002142700000000053,0.00457989999999997,0.002284800000000198,0.006186500000000095,0.0023301000000000016

190,0.004138000000000197,0.004652100000000159,0.0049399999999999444,0.0031503999999999976,0.00786219999999993,0.0033431999999999906

200,0.003113199999999816,0.0032860999999999585,0.0057994999999999575,0.0033963000000001298,0.00754750000000004,0.002828400000000064

210,0.0028791000000001343,0.00332700000000008,0.006219600000000103,0.0032733000000000345,0.00787070000000023,0.003525699999999965

220,0.0033194000000000834,0.0038410999999998197,0.006454799999999761,0.0033311999999998676,0.010076300000000149,0.004748900000000056

230,0.0038484999999996994,0.004068699999999925,0.007713599999999765,0.004293400000000336,0.009918599999999778,0.003794000000000075

240,0.0034290999999999627,0.004082599999999825,0.007018699999999711,0.004887400000000319,0.010686300000000148,0.003977700000000084

250,0.003648699999999838,0.004749700000000079,0.007797200000000171,0.005377500000000257,0.011880000000000113,0.005513399999999891

260,0.003961399999999671,0.005149400000000082,0.008331699999999831,0.005241199999999946,0.012236399999999925,0.004625799999999902

